Date,"Imp Vol","1D IV Chg","IV Rank","IV Pctl","P/C Vol","Options Vol","P/C OI","Total OI",Last,"Call Volume","Put Volume","Call OI","Put OI"
2025-10-09,46.46%,+46.46%,0.52%,3%,0.22796715997556,138651,0.59027778912337,1946764,24.07,112911,25740,1224166,722598
2025-10-08,0.00%,unch,0.00%,0%,0.2381867229417,124387,0.60245938356046,1860231,24.41,100459,23928,1160860,699371
2025-10-07,0.00%,unch,0.00%,0%,0.32905561793891,115992,0.6115497399848,1826213,24.35,87274,28718,1133203,693010
2025-10-06,0.00%,unch,0.00%,0%,0.26419020958415,137286,0.69944663249862,3162004,25.05,108596,28690,1860608,1301396
2025-10-03,0.00%,-54.65%,0.00%,0%,0.49145858970796,112714,0.59153784357,1959312,25.38,75573,37141,1231081,728231
2025-10-02,54.65%,-0.15%,8.19%,13%,0.24662136308677,325802,0.58774319405157,1913483,27.22,261348,64454,1205159,708324
2025-10-01,54.80%,-1.37%,8.33%,13%,0.18547904610137,212017,0.58678357959383,1902663,27.69,178845,33172,1199069,703594
2025-09-30,56.16%,-1.78%,9.61%,15%,0.21727374854814,127860,0.58733654484827,1892702,27.28,105038,22822,1192376,700326
2025-09-29,57.94%,+1.43%,11.28%,20%,0.25675928557072,181329,0.5993716618997,1846433,27.21,144283,37046,1154474,691959
2025-09-26,56.51%,+2.94%,9.94%,16%,0.23466595957526,307317,0.57752035718234,1983216,26.42,248907,58410,1257173,726043
2025-09-25,53.57%,+3.31%,7.18%,11%,0.28301214125849,194334,0.57393081348937,1957833,25.27,151467,42867,1243913,713920
2025-09-24,50.26%,-5.84%,4.08%,6%,0.20463644126887,153761,0.57749160720065,1930326,26.25,127641,26120,1223668,706658
2025-09-23,56.10%,-0.23%,9.55%,14%,0.18275384932434,200873,0.58493958173914,1884826,26.8,169835,31038,1189210,695616
2025-09-22,56.33%,+5.35%,9.77%,14%,0.21601181749195,330101,0.60132790020196,1791982,26.78,271462,58639,1119060,672922
2025-09-19,50.98%,-1.08%,4.76%,8%,0.16682884339221,297385,0.56979715968837,2007904,26.08,254866,42519,1279085,728819
2025-09-18,52.06%,-1.34%,5.77%,9%,0.21123471866235,180520,0.57191712104689,1981991,25.88,149038,31482,1260875,721116
2025-09-17,53.40%,-1.03%,7.03%,10%,0.21004755818254,186501,0.57374260784326,1952234,26.1,154127,32374,1240504,711730
2025-09-16,54.43%,+3.49%,7.99%,10%,0.1906351548578,295318,0.59421483611329,1881258,26.34,248034,47284,1180053,701205
2025-09-15,50.94%,+5.05%,4.73%,7%,0.20180121509182,280498,0.61445396202918,1809748,25.53,233398,47100,1120966,688782
2025-09-12,45.90%,-0.04%,0.00%,0%,0.21675892097085,298735,0.61698432610875,2028827,24.93,245517,53218,1254698,774129
2025-09-11,45.94%,-14.51%,0.00%,0%,0.3810938398378,273835,0.63753940913184,1995029,24.85,198274,75561,1218309,776720
2025-09-10,60.45%,-6.09%,13.40%,17%,0.49934771601322,755094,0.60896132904857,1921095,0,503615,251479,1193997,727098
2025-09-09,66.54%,+0.77%,19.12%,34%,0.45350430967077,316018,0.61640911977037,1789651,0,217418,98600,1107177,682474
2025-09-08,65.78%,-1.50%,18.40%,31%,0.45921216921982,217373,0.61147253509318,1700985,0,148966,68407,1055547,645438
2025-09-05,67.28%,+1.47%,19.81%,34%,0.27235283132405,245274,0.57468211799681,1777624,0,192772,52502,1128878,648746
2025-09-04,65.81%,+0.42%,18.43%,31%,0.30024213075061,131565,0.57756621880998,1746563,0,101185,30380,1107125,639438
2025-09-03,65.39%,-4.12%,18.04%,30%,0.28974764300964,204790,0.57993696622548,1685867,0,158783,46007,1067047,618820
2025-09-02,69.51%,+8.42%,21.90%,38%,0.31171923922533,286974,0.59764502604498,1571883,0,218777,68197,983875,588008
2025-08-29,61.09%,-4.20%,13.99%,18%,0.29442492631993,210379,0.57933010703984,1656204,22.41,162527,47852,1048675,607529
2025-08-28,65.29%,-0.12%,17.94%,27%,0.1571637748005,158057,0.60470550454873,1609035,22.79,136590,21467,1002698,606337
2025-08-27,65.41%,+0.02%,18.05%,29%,0.2111294756548,143623,0.61565484526393,1560931,22.5,118586,25037,966129,594802
2025-08-26,65.38%,+1.24%,18.02%,28%,1.0599995764237,194534,0.59247488001234,1486131,22.3,94434,100100,933221,552910
2025-08-25,64.14%,-2.33%,16.86%,24%,0.27080434700861,135178,0.5987433583631,1437371,22.68,106372,28806,899063,538308
2025-08-22,66.47%,+0.76%,19.05%,30%,0.31640655564049,218717,0.55040478570863,1508902,22.89,166147,52570,973231,535671
2025-08-21,65.71%,+0.80%,18.33%,28%,0.18205083172341,94226,0.55664387204302,1486900,22.56,79714,14512,955196,531704
2025-08-20,64.91%,+2.15%,17.58%,26%,1.0240460376566,173398,0.53753683892292,1434179,22.63,85669,87729,932777,501402
2025-08-19,62.76%,+2.41%,15.56%,21%,0.1896713504891,101429,0.54912530839374,1398335,22.82,85258,16171,902661,495674
2025-08-18,60.35%,-2.50%,13.30%,16%,0.2096143669233,141716,0.56471764001247,1340201,23.11,117158,24558,856513,483688
2025-08-15,62.84%,+2.39%,15.64%,21%,0.19252052295531,215721,0.5053592133158,1551506,22.94,180895,34826,1030655,520851
2025-08-14,60.46%,-0.47%,13.40%,16%,0.22397747139432,116918,0.51257396669162,1529359,22.89,95523,21395,1011097,518262
2025-08-13,60.92%,-2.01%,13.84%,17%,0.30248041069981,120512,0.51819492192104,1507229,23.02,92525,27987,992777,514452
2025-08-12,62.93%,+6.04%,15.72%,20%,0.19548218090826,122305,0.53035118993457,1480021,22.93,102306,19999,967112,512909
2025-08-11,56.89%,+5.57%,10.05%,13%,0.2337084384478,130572,0.54550348291101,1438380,22.41,105837,24735,930687,507693
